,Town,County
0,Aberdeen,Moore
1,Ahoskie,Hertford
2,Alamance,Alamance
3,Albemarle,Stanly
4,Alliance,Pamlico
5,Andrews,Cherokee
6,Angier,Wake
7,Ansonville,Anson
8,Apex,Wake
9,Arapahoe,Pamlico
10,Archdale,Guilford
11,Archer Lodge,Johnston
12,Asheboro,Randolph
13,Asheville,Buncombe
14,Askewville,Bertie
15,Atkinson,Pender
16,Atlantic Beach,Carteret
17,Aulander,Bertie
18,Aurora,Beaufort
19,Autryville,Sampson
20,Ayden,Pitt
21,Badin,Stanly
22,Bailey,Nash
23,Bakersville,Mitchell
24,Bald Head Island,Brunswick
25,Banner Elk,Avery
26,Bath,Beaufort
27,Bayboro,Pamlico
28,Bear Grass,Martin
29,Beaufort,Carteret
30,Beech Mountain,Avery
31,Belhaven,Beaufort
32,Belmont,Gaston
33,Belville,Brunswick
34,Belwood,Cleveland
35,Benson,Johnston
36,Bermuda Run,Davie
37,Bessemer City,Gaston
38,Bethania,Forsyth
39,Bethel,Pitt
40,Beulaville,Duplin
41,Biltmore Forest,Buncombe
42,Biscoe,Montgomery
43,Black Creek,Wilson
44,Black Mountain,Buncombe
45,Bladenboro,Bladen
46,Blowing Rock,
47,Boardman,Columbus
48,Bogue,Carteret
49,Boiling Spring Lakes,Brunswick
50,Boiling Springs,Cleveland
51,Bolivia,Brunswick
52,Bolton,Columbus
53,Boone,Watauga
54,Boonville,Yadkin
55,Bostic,Rutherford
56,Brevard,Transylvania
57,Bridgeton,Craven
58,Broadway,Harnett
59,Brookford,Catawba
60,Brunswick,Columbus
61,Bryson City,Swain
62,Bunn,Franklin
63,Burgaw,Pender
64,Burlington,Alamance
65,Burnsville,Yancey
66,Butner,Granville
67,Cajah's Mountain,Caldwell
68,Calabash,Brunswick
69,Calypso,Duplin
70,Cameron,Moore
71,Candor,Montgomery
72,Canton,Haywood
73,Cape Carteret,Carteret
74,Carolina Beach,New Hanover
75,Carolina Shores,Brunswick
76,Carrboro,Orange
77,Carthage,Moore
78,Cary,Wake
79,Casar,Cleveland
80,Cashiers,Jackson
81,Castalia,Nash
82,Caswell Beach,Brunswick
83,Catawba,Catawba
84,Cedar Point,Carteret
85,Cedar Rock,Caldwell
86,Centerville,Franklin
87,Cerro Gordo,Columbus
88,Chadbourn,Columbus
89,Chapel Hill,Orange
90,Charlotte,Mecklenburg
91,Cherryville,Gaston
92,Chimney Rock Village,Rutherford
93,China Grove,Rowan
94,Chocowinity,Beaufort
95,Claremont,Catawba
96,Clarkton,Bladen
97,Clayton,Johnston
98,Clemmons,Forsyth
99,Cleveland,Rowan
100,Clinton,Sampson
101,Clyde,Haywood
102,Coats,Harnett
103,Cofield,Hertford
104,Colerain,Bertie
105,Columbia,Tyrrell
106,Columbus,Polk
107,Como,Hertford
108,Concord,Cabarrus
109,Conetoe,Edgecombe
110,Connelly Springs ,Burke
111,Conover,Catawba
112,Conway,Northampton
113,Cooleemee,Davie
114,Cornelius,Mecklenburg
115,Cove City,Craven
116,Cramerton,Gaston
117,Creedmoor,Granville
118,Creswell,Washington
119,Crossnore,Avery
120,Cullowhee,Jackson
121,Cramerton,Gaston
122,Danbury,Stokes
